,index,user.id,image,emotion,image_size
36,7578,JN721,Laura_Schlessinger_0001.jpg,happiness,"(350, 350)"
37,6753,dwdii,Jose_Canseco_0001.jpg,neutral,"(350, 350)"
38,4502,302,Giovanny_Cordoba_0001.jpg,happiness,"(350, 350)"
39,9661,dwdii,Paul_ONeill_0006.jpg,neutral,"(350, 350)"
40,10952,dwdii,Scott_Peterson_0001.jpg,neutral,"(350, 350)"
41,10153,dwdii,Reese_Witherspoon_0002.jpg,happiness,"(350, 350)"
42,5233,302,Iain_Duncan_Smith_0003.jpg,neutral,"(350, 350)"
43,10868,dwdii,Salma_Hayek_0012.jpg,happiness,"(350, 350)"
44,7145,dwdii,Katrin_Cartlidge_0001.jpg,happiness,"(350, 350)"
45,4456,302,Gerhard_Schroeder_0106.jpg,neutral,"(350, 350)"
46,10110,dwdii,Ray_Romano_0009.jpg,happiness,"(350, 350)"
47,12326,dwdii,Victoria_Clarke_0001.jpg,neutral,"(350, 350)"
48,6854,dwdii,Juan_Carlos_Ferrero_0017.jpg,neutral,"(350, 350)"
49,8726,dwdii,Michael_Sullivan_0002.jpg,happiness,"(350, 350)"
50,6590,dwdii,John_Ruiz_0001.jpg,happiness,"(350, 350)"
51,2161,302,Colin_Powell_0045.jpg,neutral,"(350, 350)"
52,3572,302,Frank_Cassell_0002.jpg,neutral,"(350, 350)"
53,2337,302,Colin_Powell_0224.jpg,sadness,"(350, 350)"
54,12609,dwdii,Woodrow_Stanley_0001.jpg,neutral,"(350, 350)"
55,2960,302,Donald_Rumsfeld_0064.jpg,neutral,"(350, 350)"
56,3186,302,Ed_Rosenthal_0003.jpg,happiness,"(350, 350)"
57,3452,302,Faye_Dunaway_0003.jpg,happiness,"(350, 350)"
58,6757,dwdii,Jose_Carlo_Fernandez_0001.jpg,neutral,"(350, 350)"
59,578,302,Andre_Agassi_0029.jpg,happiness,"(350, 350)"
60,6175,dwdii,Jim_Harrick_0001.jpg,happiness,"(350, 350)"
61,9987,dwdii,Queen_Rania_0003.jpg,surprise,"(350, 350)"
62,1381,302,Bob_Stoops_0006.jpg,neutral,"(350, 350)"
63,5778,dwdii,Jean_Charest_0002.jpg,happiness,"(350, 350)"
64,1325,302,Bobby_Kielty_0001.jpg,happiness,"(350, 350)"
65,6023,dwdii,Jeong_Se-hyun_0006.jpg,neutral,"(350, 350)"
66,10813,dwdii,Saddam_Hussein_0004.jpg,neutral,"(350, 350)"
67,4235,302,George_W_Bush_0437.jpg,happiness,"(350, 350)"
68,4131,302,George_W_Bush_0333.jpg,neutral,"(350, 350)"
69,1640,302,Carlos_Mesa_0001.jpg,neutral,"(350, 350)"
70,12514,dwdii,William_Burns_0002.jpg,neutral,"(350, 350)"
71,6477,dwdii,John_Kerry_0005.jpg,neutral,"(350, 350)"
72,7763,JN721,Lindsay_Davenport_0010.jpg,sadness,"(350, 350)"
73,6156,dwdii,Jim_Carrey_0003.jpg,surprise,"(350, 350)"
74,2620,302,David_Eldon_0001.jpg,neutral,"(350, 350)"
75,4154,302,George_W_Bush_0356.jpg,surprise,"(350, 350)"
76,6591,dwdii,John_Ruiz_0002.jpg,neutral,"(350, 350)"
77,4399,302,Gerhard_Schroeder_0048.jpg,happiness,"(350, 350)"
78,831,302,Ariel_Sharon_0065.jpg,neutral,"(350, 350)"
79,730,302,Anthony_Pisciotti_0001.jpg,neutral,"(350, 350)"
80,631,302,Angela_Merkel_0004.jpg,happiness,"(350, 350)"
81,4345,302,Gerard_Depardieu_0001.jpg,neutral,"(350, 350)"
82,3607,302,Franz_Muentefering_0001.jpg,happiness,"(350, 350)"
83,6565,dwdii,John_Paul_II_0004.jpg,neutral,"(350, 350)"
84,9104,dwdii,Nanni_Moretti_0002.jpg,neutral,"(350, 350)"
85,10011,dwdii,Rafael_Bielsa_0001.jpg,neutral,"(350, 350)"
86,11507,dwdii,Taha_Yassin_Ramadan_0008.jpg,neutral,"(350, 350)"
87,2993,302,Donald_Rumsfeld_0098.jpg,neutral,"(350, 350)"
88,4445,302,Gerhard_Schroeder_0095.jpg,neutral,"(350, 350)"
89,1300,302,Bill_Sizemore_0001.jpg,neutral,"(350, 350)"
90,4808,302,Hamad_Bin_Isa_al-Khalifa_0001.jpg,happiness,"(350, 350)"
91,2537,302,Daryl_Sabara_0001.jpg,neutral,"(350, 350)"
92,9733,dwdii,Perry_Compton_0001.jpg,happiness,"(350, 350)"
93,10327,dwdii,Richard_Ward_0001.jpg,neutral,"(350, 350)"
94,8950,dwdii,Mohamed_ElBaradei_0005.jpg,neutral,"(350, 350)"
95,1535,302,Bryan_Cooley_0001.jpg,neutral,"(350, 350)"
96,7426,JN721,Kurt_Thomas_0001.jpg,neutral,"(350, 350)"
97,5435,302,Jacques_Chirac_0026.jpg,happiness,"(350, 350)"
98,6447,dwdii,John_Gordnick_0001.jpg,neutral,"(350, 350)"
99,3192,302,Efrain_Rios_Montt_0001.jpg,neutral,"(350, 350)"
100,11839,dwdii,Tom_Brady_0001.jpg,happiness,"(350, 350)"
101,9536,dwdii,Patti_Lank_0001.jpg,surprise,"(350, 350)"
102,3871,302,George_W_Bush_0065.jpg,happiness,"(350, 350)"
103,1238,302,Bill_Gates_0014.jpg,neutral,"(350, 350)"
104,12455,dwdii,Wang_Hailan_0001.jpg,sadness,"(350, 350)"
105,9352,dwdii,Norah_Jones_0014.jpg,happiness,"(350, 350)"
106,768,302,Aretha_Franklin_0001.jpg,happiness,"(350, 350)"
107,2888,302,Donald_Fehr_0002.jpg,neutral,"(350, 350)"
108,8356,dwdii,Martin_Keown_0001.jpg,surprise,"(350, 350)"
109,10272,dwdii,Richard_Haass_0001.jpg,happiness,"(350, 350)"
110,7646,JN721,Len_Jenoff_0002.jpg,neutral,"(350, 350)"
111,10455,dwdii,Robert_Duvall_0005.jpg,happiness,"(350, 350)"
112,3590,302,Frank_Solich_0002.jpg,neutral,"(350, 350)"
113,7338,JN721,King_Abdullah_II_0005.jpg,neutral,"(350, 350)"
114,2508,302,Dan_Prinster_0001.jpg,neutral,"(350, 350)"
115,7259,dwdii,Khalid_Qazi_0001.jpg,neutral,"(350, 350)"
116,11317,dwdii,Stella_Keitel_0001.jpg,happiness,"(350, 350)"
117,11857,dwdii,Tom_Cruise_0005.jpg,happiness,"(350, 350)"
118,11157,dwdii,Shimon_Peres_0002.jpg,neutral,"(350, 350)"
119,6221,dwdii,JK_Rowling_0004.jpg,happiness,"(350, 350)"
120,1210,302,Bill_Clinton_0029.jpg,neutral,"(350, 350)"
121,4824,302,Hamid_Karzai_0014.jpg,neutral,"(350, 350)"
122,7768,JN721,Lindsay_Davenport_0016.jpg,anger,"(350, 350)"
123,2688,302,David_Wells_0001.jpg,neutral,"(350, 350)"
124,3231,302,Elizabeth_Berkeley_0001.jpg,happiness,"(350, 350)"
125,715,302,Antanas_Valionis_0001.jpg,happiness,"(350, 350)"
126,1862,302,Charlie_Hunnam_0001.jpg,happiness,"(350, 350)"
127,568,302,Andre_Agassi_0019.jpg,happiness,"(350, 350)"
128,7155,dwdii,Keanu_Reeves_0006.jpg,neutral,"(350, 350)"
129,4900,302,Harrison_Ford_0001.jpg,happiness,"(350, 350)"
130,6196,dwdii,Jim_Thome_0001.jpg,happiness,"(350, 350)"
131,8296,dwdii,Mark_Salter_0001.jpg,neutral,"(350, 350)"
132,12049,dwdii,Tony_Blair_0072.jpg,happiness,"(350, 350)"
133,9645,dwdii,Paul_McCartney_0002.jpg,neutral,"(350, 350)"
134,4249,302,George_W_Bush_0451.jpg,neutral,"(350, 350)"
135,3010,302,Donald_Rumsfeld_0115.jpg,neutral,"(350, 350)"
136,8017,dwdii,Madeleine_Albright_0003.jpg,neutral,"(350, 350)"
137,12334,dwdii,Vidar_Helgesen_0001.jpg,happiness,"(350, 350)"
138,6663,dwdii,Jonathan_Horton_0001.jpg,happiness,"(350, 350)"
139,5698,dwdii,Javier_Solana_0002.jpg,neutral,"(350, 350)"
140,7888,dwdii,Luciano_Pavarotti_0003.jpg,happiness,"(350, 350)"
141,6604,dwdii,John_Snow_0009.jpg,neutral,"(350, 350)"
142,9438,dwdii,Oswaldo_Paya_0002.jpg,happiness,"(350, 350)"
143,10027,dwdii,Rainer_Schuettler_0004.jpg,happiness,"(350, 350)"
144,9564,dwdii,Paula_Radcliffe_0006.jpg,happiness,"(350, 350)"
145,1909,302,Chip_Ganassi_0001.jpg,happiness,"(350, 350)"
146,10209,dwdii,Ricardo_Lagos_0019.jpg,neutral,"(350, 350)"
147,207,302,Alec_Baldwin_0002.jpg,happiness,"(350, 350)"
148,8781,dwdii,Mick_McCarthy_0001.jpg,neutral,"(350, 350)"
149,1331,302,Bob_Beauprez_0002.jpg,happiness,"(350, 350)"
150,12209,dwdii,Uma_Thurman_0001.jpg,happiness,"(350, 350)"
151,10026,dwdii,Rainer_Schuettler_0002.jpg,neutral,"(350, 350)"
152,284,302,Alexandra_Vodjanikova_0001.jpg,neutral,"(350, 350)"
153,5830,dwdii,Jean_Chretien_0037.jpg,neutral,"(350, 350)"
154,3046,302,Doris_Roberts_0003.jpg,happiness,"(350, 350)"
155,4265,302,George_W_Bush_0467.jpg,neutral,"(350, 350)"
156,7459,JN721,Lance_Armstrong_0013.jpg,happiness,"(350, 350)"
157,7774,JN721,Lindsay_Davenport_0022.jpg,surprise,"(350, 350)"
158,1733,302,Cassandra_Heise_0001.jpg,neutral,"(350, 350)"
159,6674,dwdii,Jong_Wook_Lee_0003.jpg,happiness,"(350, 350)"
160,10446,dwdii,Robert_De_Niro_0004.jpg,happiness,"(350, 350)"
161,5306,302,Intisar_Ajouri_0001.jpg,neutral,"(350, 350)"
162,3971,302,George_W_Bush_0168.jpg,neutral,"(350, 350)"
163,11472,dwdii,Suzie_McConnell_Serio_0001.jpg,happiness,"(350, 350)"
164,1038,302,Barry_Bonds_0001.jpg,neutral,"(350, 350)"
165,11182,dwdii,Silvan_Shalom_0002.jpg,neutral,"(350, 350)"
166,10825,dwdii,Saddam_Hussein_0016.jpg,happiness,"(350, 350)"
167,6596,dwdii,John_Snow_0001.jpg,neutral,"(350, 350)"
168,2953,302,Donald_Rumsfeld_0057.jpg,neutral,"(350, 350)"
169,11418,dwdii,Steve_Wariner_0001.jpg,neutral,"(350, 350)"
170,6262,dwdii,Joe_Carnahan_0001.jpg,neutral,"(350, 350)"
171,5714,dwdii,Jaymon_Crabb_0001.jpg,neutral,"(350, 350)"
172,11253,dwdii,Sophia_Loren_0003.jpg,happiness,"(350, 350)"
173,8055,dwdii,Mahmoud_Abbas_0003.jpg,happiness,"(350, 350)"
174,4672,302,Gregory_Geoffroy_0001.jpg,neutral,"(350, 350)"
175,9530,dwdii,Patsy_Kensit_0001.jpg,neutral,"(350, 350)"
176,6679,dwdii,Jon_Corzine_0003.jpg,happiness,"(350, 350)"
177,3585,302,Frank_Pallone_0001.jpg,neutral,"(350, 350)"
178,8276,dwdii,Mark_Mishkin_0001.jpg,neutral,"(350, 350)"
179,4831,302,Hamid_Karzai_0021.jpg,neutral,"(350, 350)"
180,341,302,Ali_Hammoud_0001.jpg,happiness,"(350, 350)"
181,9018,dwdii,Monique_Gagnon-Tremblay_0001.jpg,happiness,"(350, 350)"
182,11135,dwdii,Sheila_Fraser_0001.jpg,neutral,"(350, 350)"
183,10101,dwdii,Ray_Price_0001.jpg,neutral,"(350, 350)"
184,1335,302,Bob_Colvin_0002.jpg,neutral,"(350, 350)"
185,11028,dwdii,Serena_Williams_0030.jpg,happiness,"(350, 350)"
186,1320,302,Blythe_Hartley_0002.jpg,happiness,"(350, 350)"
187,10311,dwdii,Richard_Regenhard_0001.jpg,happiness,"(350, 350)"
188,2109,302,Colin_Farrell_0009.jpg,neutral,"(350, 350)"
189,7949,dwdii,Luiz_Inacio_Lula_da_Silva_0003.jpg,happiness,"(350, 350)"
190,3491,302,Fernando_Henrique_Cardoso_0003.jpg,neutral,"(350, 350)"
191,542,302,Andrew_Gilligan_0001.jpg,neutral,"(350, 350)"
192,812,302,Ariel_Sharon_0044.jpg,neutral,"(350, 350)"
193,2100,302,Colin_Cowie_0001.jpg,happiness,"(350, 350)"
194,1072,302,Benjamin_Bratt_0001.jpg,happiness,"(350, 350)"
195,3002,302,Donald_Rumsfeld_0107.jpg,neutral,"(350, 350)"
196,10252,dwdii,Richard_Fine_0001.jpg,neutral,"(350, 350)"
197,10055,dwdii,Ramon_Ponce_de_Leon_0001.jpg,neutral,"(350, 350)"
198,929,302,Arthur_Martinez_0001.jpg,neutral,"(350, 350)"
199,853,302,Ari_Fleischer_0007.jpg,neutral,"(350, 350)"
200,4398,302,Gerhard_Schroeder_0047.jpg,neutral,"(350, 350)"
201,11179,dwdii,Sila_Calderon_0003.jpg,happiness,"(350, 350)"
202,4737,302,Guillermo_Monroy_0001.jpg,happiness,"(350, 350)"
203,8260,dwdii,Mark_Hanson_0001.jpg,neutral,"(350, 350)"
204,9992,dwdii,Quincy_Jones_0001.jpg,happiness,"(350, 350)"
205,10422,dwdii,Roberto_Marinho_0003.jpg,happiness,"(350, 350)"
206,230,302,Alejandro_Toledo_0011.jpg,neutral,"(350, 350)"
207,11612,dwdii,Terry_Semel_0001.jpg,happiness,"(350, 350)"
208,11241,dwdii,Sok_An_0001.jpg,neutral,"(350, 350)"
209,4248,302,George_W_Bush_0450.jpg,neutral,"(350, 350)"
210,4033,302,George_W_Bush_0233.jpg,neutral,"(350, 350)"
211,3821,302,George_W_Bush_0015.jpg,neutral,"(350, 350)"
212,1844,302,Charles_Moose_0013.jpg,anger,"(350, 350)"
213,5193,302,Hugo_Chavez_0066.jpg,neutral,"(350, 350)"
214,2253,302,Colin_Powell_0140.jpg,happiness,"(350, 350)"
215,3361,302,Eric_Vigouroux_0001.jpg,neutral,"(350, 350)"
216,11858,dwdii,Tom_Cruise_0006.jpg,happiness,"(350, 350)"
217,10797,dwdii,Ryan_Leaf_0001.jpg,happiness,"(350, 350)"
218,11934,dwdii,Tom_Ridge_0013.jpg,neutral,"(350, 350)"
219,4722,302,Guillermo_Coria_0015.jpg,neutral,"(350, 350)"
220,10518,dwdii,Robert_Zoellick_0003.jpg,neutral,"(350, 350)"
221,8028,dwdii,Magdalena_Maleeva_0003.jpg,happiness,"(350, 350)"
222,5730,dwdii,JC_Chasez_0001.jpg,neutral,"(350, 350)"
223,12206,dwdii,T_Boone_Pickens_0001.jpg,happiness,"(350, 350)"
224,2024,302,Chung_Mong-joon_0001.jpg,neutral,"(350, 350)"
225,4148,302,George_W_Bush_0350.jpg,neutral,"(350, 350)"
226,930,302,Artieas_Shanks_0001.jpg,neutral,"(350, 350)"
227,10105,dwdii,Ray_Romano_0004.jpg,happiness,"(350, 350)"
228,5295,302,Imam_Samudra_0001.jpg,happiness,"(350, 350)"
229,4717,302,Guillermo_Coria_0010.jpg,neutral,"(350, 350)"
230,3271,302,Elsa_Zylberstein_0002.jpg,happiness,"(350, 350)"
231,12552,dwdii,William_Ragland_0001.jpg,neutral,"(350, 350)"
232,2636,302,David_Hyde_Pierce_0001.jpg,neutral,"(350, 350)"
233,12108,dwdii,Tony_Blair_0132.jpg,happiness,"(350, 350)"
234,6990,dwdii,Junichiro_Koizumi_0022.jpg,happiness,"(350, 350)"
235,10741,dwdii,Rudolf_Schuster_0001.jpg,happiness,"(350, 350)"
236,6458,dwdii,John_Howard_0007.jpg,neutral,"(350, 350)"
237,7941,dwdii,Luis_Horna_0005.jpg,neutral,"(350, 350)"
238,8512,dwdii,Megawati_Sukarnoputri_0021.jpg,happiness,"(350, 350)"
239,8429,dwdii,Massoud_Barzani_0001.jpg,neutral,"(350, 350)"
240,2080,302,Clay_Aiken_0005.jpg,neutral,"(350, 350)"
241,336,302,Ali_Abdullah_Saleh_0001.jpg,neutral,"(350, 350)"
242,2348,302,Colin_Powell_0235.jpg,neutral,"(350, 350)"
243,7897,dwdii,Lucio_Gutierrez_0005.jpg,happiness,"(350, 350)"
244,139,302,Aiysha_Smith_0001.jpg,neutral,"(350, 350)"
245,87,302,Adriana_Lima_0001.jpg,neutral,"(350, 350)"
246,8796,dwdii,Mike_Bair_0001.jpg,neutral,"(350, 350)"
247,1598,302,Carla_Myers_0001.jpg,happiness,"(350, 350)"
248,8871,dwdii,Mike_Weir_0010.jpg,happiness,"(350, 350)"
249,935,302,Art_Hoffmann_0001.jpg,happiness,"(350, 350)"
250,12098,dwdii,Tony_Blair_0122.jpg,happiness,"(350, 350)"
251,7727,JN721,Liam_Neeson_0003.jpg,neutral,"(350, 350)"
252,553,302,Andre_Agassi_0003.jpg,happiness,"(350, 350)"
253,1912,302,Chita_Rivera_0001.jpg,happiness,"(350, 350)"
254,9827,dwdii,Pete_Sampras_0020.jpg,happiness,"(350, 350)"
255,10351,dwdii,Rick_Caruso_0001.jpg,neutral,"(350, 350)"
256,7672,JN721,Leonardo_DiCaprio_0003.jpg,neutral,"(350, 350)"
257,5165,302,Hugo_Chavez_0036.jpg,happiness,"(350, 350)"
258,2403,302,Craig_Burley_0001.jpg,happiness,"(350, 350)"
259,2249,302,Colin_Powell_0136.jpg,neutral,"(350, 350)"
260,10843,dwdii,Sally_Field_0001.jpg,happiness,"(350, 350)"
261,10902,dwdii,Sandy_Smith_0001.jpg,sadness,"(350, 350)"
262,2196,302,Colin_Powell_0082.jpg,neutral,"(350, 350)"
263,9023,dwdii,Morgan_Fairchild_0001.jpg,happiness,"(350, 350)"
264,10185,dwdii,Ren_Qingjin_0001.jpg,neutral,"(350, 350)"
265,1032,302,Barbra_Streisand_0002.jpg,happiness,"(350, 350)"
266,11908,dwdii,Tom_Izzo_0001.jpg,surprise,"(350, 350)"
267,11581,dwdii,TA_McLendon_0001.jpg,happiness,"(350, 350)"
268,9321,dwdii,Nina_Pecari_0001.jpg,neutral,"(350, 350)"
269,706,302,Ann_Veneman_0003.jpg,happiness,"(350, 350)"
270,3333,302,Enrique_Iglesias_0001.jpg,neutral,"(350, 350)"
271,11173,dwdii,Sidney_Kimmel_0001.jpg,surprise,"(350, 350)"
272,8421,dwdii,Mary_Zorn_0001.jpg,happiness,"(350, 350)"
273,1729,302,Carson_Palmer_0003.jpg,neutral,"(350, 350)"
274,8205,dwdii,Marieta_Chrousala_0001.jpg,happiness,"(350, 350)"
275,10397,dwdii,Robbie_Fowler_0001.jpg,happiness,"(350, 350)"
276,12325,dwdii,Victoria_Beckham_0003.jpg,neutral,"(350, 350)"
277,6337,dwdii,John_Allen_Muhammad_0008.jpg,neutral,"(350, 350)"
278,8627,dwdii,Michael_Deutsch_0001.jpg,happiness,"(350, 350)"
279,8566,dwdii,Meryl_Streep_0015.jpg,happiness,"(350, 350)"
280,4725,302,Guillermo_Coria_0018.jpg,neutral,"(350, 350)"
281,7299,JN721,Kim_Dae-jung_0008.jpg,happiness,"(350, 350)"
282,10970,dwdii,Sean_Astin_0001.jpg,neutral,"(350, 350)"
283,8365,dwdii,Martin_McGuinness_0003.jpg,neutral,"(350, 350)"
284,5970,dwdii,Jennifer_Garner_0006.jpg,happiness,"(350, 350)"
285,9138,dwdii,Narayan_Singh_Pun_0001.jpg,neutral,"(350, 350)"
286,7175,dwdii,Keith_Osik_0001.jpg,neutral,"(350, 350)"
287,12739,dwdii,Zhong_Nanshan_0001.jpg,neutral,"(350, 350)"
288,12065,dwdii,Tony_Blair_0088.jpg,happiness,"(350, 350)"
289,12019,dwdii,Tony_Blair_0042.jpg,happiness,"(350, 350)"
290,10007,dwdii,Rachel_Roy_0001.jpg,happiness,"(350, 350)"
291,1684,302,Carly_Fiorina_0002.jpg,neutral,"(350, 350)"
292,7607,JN721,Leandrinho_Barbosa_0001.jpg,happiness,"(350, 350)"
293,11772,dwdii,Tina_Fey_0001.jpg,happiness,"(350, 350)"
294,7184,dwdii,Kelli_White_0001.jpg,happiness,"(350, 350)"
295,1671,302,Carlos_Salinas_0001.jpg,neutral,"(350, 350)"
296,680,302,Anna_Nicole_Smith_0002.jpg,happiness,"(350, 350)"
297,996,302,Atsushi_Sato_0001.jpg,neutral,"(350, 350)"
298,11557,dwdii,Tariq_Aziz_0002.jpg,happiness,"(350, 350)"
299,12008,dwdii,Tony_Blair_0031.jpg,happiness,"(350, 350)"
300,7139,dwdii,Katie_Harman_0002.jpg,happiness,"(350, 350)"
301,9724,dwdii,Penelope_Cruz_0002.jpg,happiness,"(350, 350)"
302,12160,dwdii,Trent_Lott_0004.jpg,neutral,"(350, 350)"
303,11499,dwdii,Tab_Baldwin_0001.jpg,happiness,"(350, 350)"
304,3434,302,Fabiola_Zuluaga_0002.jpg,neutral,"(350, 350)"
305,3973,302,George_W_Bush_0171.jpg,neutral,"(350, 350)"
306,12761,dwdii,Zoran_Djindjic_0002.jpg,neutral,"(350, 350)"
307,2074,302,Claudio_Lopez_0001.jpg,happiness,"(350, 350)"
308,8002,dwdii,Lyle_Vanclief_0002.jpg,neutral,"(350, 350)"
309,11286,dwdii,Stacy_Dragila_0002.jpg,neutral,"(350, 350)"
310,12257,dwdii,Vanessa_Redgrave_0002.jpg,happiness,"(350, 350)"
311,1711,302,Carolyn_Kuhl_0001.jpg,happiness,"(350, 350)"
312,4433,302,Gerhard_Schroeder_0082.jpg,neutral,"(350, 350)"
313,4277,302,George_W_Bush_0481.jpg,neutral,"(350, 350)"
314,1060,302,Beecher_Ray_Kirby_0001.jpg,happiness,"(350, 350)"
315,10100,dwdii,Ray_Nagin_0002.jpg,happiness,"(350, 350)"
316,7722,JN721,Li_Zhaoxing_0005.jpg,happiness,"(350, 350)"
317,4350,302,Gerhard_Boekel_0001.jpg,happiness,"(350, 350)"
318,9843,dwdii,Philippe_Noiret_0002.jpg,neutral,"(350, 350)"
319,8450,dwdii,Matthew_Vaughan_0001.jpg,happiness,"(350, 350)"
320,308,302,Alex_Wallau_0001.jpg,happiness,"(350, 350)"
321,6786,dwdii,Jose_Maria_Aznar_0012.jpg,neutral,"(350, 350)"
322,3991,302,George_W_Bush_0191.jpg,sadness,"(350, 350)"
323,6112,dwdii,Jiang_Zemin_0005.jpg,happiness,"(350, 350)"
324,2752,302,Dennis_Kucinich_0001.jpg,neutral,"(350, 350)"
325,4530,302,Gloria_Macapagal_Arroyo_0005.jpg,neutral,"(350, 350)"
326,3072,302,Drew_Barrymore_0001.jpg,happiness,"(350, 350)"
327,4188,302,George_W_Bush_0390.jpg,neutral,"(350, 350)"
328,9199,dwdii,Nelson_Mandela_0003.jpg,neutral,"(350, 350)"
329,9869,dwdii,Pierce_Brosnan_0004.jpg,neutral,"(350, 350)"
330,4523,302,Gloria_Allred_0001.jpg,neutral,"(350, 350)"
331,12217,dwdii,Vaclav_Havel_0002.jpg,neutral,"(350, 350)"
332,11464,dwdii,Susilo_Bambang_Yudhoyono_0004.jpg,neutral,"(350, 350)"
333,9752,dwdii,Pervez_Musharraf_0017.jpg,neutral,"(350, 350)"
334,2877,302,Dominique_de_Villepin_0010.jpg,neutral,"(350, 350)"
335,2731,302,Demi_Moore_0002.jpg,happiness,"(350, 350)"
336,12198,dwdii,Tyler_Grillo_0001.jpg,surprise,"(350, 350)"
337,8843,dwdii,Mike_Price_0001.jpg,neutral,"(350, 350)"
338,6295,dwdii,Joe_Nichols_0003.jpg,happiness,"(350, 350)"
339,9981,dwdii,Queen_Latifah_0002.jpg,happiness,"(350, 350)"
340,1944,302,Christine_Arron_0001.jpg,neutral,"(350, 350)"
341,7873,dwdii,Lorraine_Bracco_0001.jpg,happiness,"(350, 350)"
342,2765,302,Denzel_Washington_0002.jpg,neutral,"(350, 350)"
343,1610,302,Carlos_De_Abreu_0001.jpg,happiness,"(350, 350)"
344,5930,dwdii,Jennifer_Capriati_0012.jpg,anger,"(350, 350)"
345,696,302,Anne_McLellan_0003.jpg,neutral,"(350, 350)"
346,3563,302,Franco_Cangele_0001.jpg,neutral,"(350, 350)"
347,11426,dwdii,Strom_Thurmond_0001.jpg,happiness,"(350, 350)"
348,9898,dwdii,Platon_Lebedev_0001.jpg,neutral,"(350, 350)"
349,7514,JN721,Larry_Thompson_0004.jpg,neutral,"(350, 350)"
350,7636,JN721,Lee_Tae-sik_0002.jpg,neutral,"(350, 350)"
351,9446,dwdii,Owen_Wilson_0001.jpg,happiness,"(350, 350)"
352,10029,dwdii,Raja_Ibrahim_0001.jpg,neutral,"(350, 350)"
353,6003,dwdii,Jennifer_Love_Hewitt_0001.jpg,happiness,"(350, 350)"
354,2988,302,Donald_Rumsfeld_0093.jpg,neutral,"(350, 350)"
355,10379,dwdii,Rick_Wagoner_0002.jpg,neutral,"(350, 350)"
356,9068,dwdii,Nadine_Vinzens_0001.jpg,happiness,"(350, 350)"
357,10459,dwdii,Robert_Ehrlich_0001.jpg,surprise,"(350, 350)"
358,10088,dwdii,Raymond_Odierno_0001.jpg,neutral,"(350, 350)"
359,12265,dwdii,Vassilis_Xiros_0001.jpg,neutral,"(350, 350)"
360,4887,302,Hans_Eichel_0001.jpg,neutral,"(350, 350)"
361,2414,302,Cristian_Barros_0001.jpg,happiness,"(350, 350)"
